sentence;class
Абрамов Сергей Дмитриевич рис;0
Интересы;0
алгоритмы, геймдев;0
Задачи;0
создание алгоритма оптимального распределения задач между участниками проектов с учетом связей между этими задачами;1
тестирование алгоритма в отдельности;1
Рис;0
Проблемы;0
изначально казалось, что реализация алгоритма распределения задач будет весьма простой, но одного венгерского алгоритма оказалось недостаточно   он пригоден только в случае, когда количество задач и участников проекта одинаково;0
Но на практике количество задач в большинстве случаев превышает количество участников;0
Также при решении задачи распределения необходимо учитывать, что задачи необязательно должны выполняться строго последовательно;0
есть и те, которые могут решаться параллельно, причем иногда даже одним человеком;0
Поэтому в случае появления не назначенных задач они распределяются по принципу выбора тех участников, которые затратят на решение каждой задачи наименьшее количество рабочих дней, с учетом последовательности и параллельности выполнения задач;0
Определение того, является ли та или иная пара задач проекта параллельно выполняемой, для человека не составит труда, но объяснить то же самое понятным для компьютера образом куда сложнее;0
Для решения этой проблемы было введено понятие параллельности двух задач;0
Параллельно выполняемыми называются те задачи, которые зависят от какой-либо одной, но не друг от друга;0
В противном случае задачи считаются последовательно выполняемыми;0
Подразумевается, что в графе все задачи связаны между собой;0
Также над матрицей смежности, являющейся интерпретацией графа связей задач в коде, проводятся некоторые операции;0
Матрица преобразуется из числовой в булеву;0
Проводится транспонирование матрицы;0
Идет поэлементное суммирование каждой строки с той строкой , в столбце с чьим номером установлено True;0
В результате получается матрица, показывающая для каждой задачи те, от которых она зависит;0
Это необходимо для определения последовательности и, соответственно, параллельности выполнения любой пары задач;0
Лебедев Владислав Сергеевич рис;0
Интересы;0
разработка\верстка сайтов, парсинг сайтов, по ходу разработки учиться чему-то новому;0
Рис;0
Задачи;0
создание сайта на Django;1
объединение алгоритма распределения задач с сайтом;1
Подзадачи;0
Сделать базовый проект на Django;1
Создать страницу для входа на сайт;1
Сделать структуру базы данных;1
Написать классы для работы с базой данных;1
Создать главную страницу с работающими вкладками;1
Создать страницу сайта для добавления проектов;1
Связать готовый алгоритм распределения задач с сайтом;1
Загрузить сайт на хостинг;1
Проблемы;0
Сначала я вообще не представлял, как будет выглядеть сайт и что будет храниться в базе данных;0
Осознание всего этого пришло по ходу обсуждения и вникания в суть проекта;0
Также было довольно трудно придумать интуитивно понятный интерфейс, чтобы пользователь мог легко ориентироваться по сайту;0
Самым сложным оказалось связать готовый алгоритм распределения задач с сайтом;0
Распределение должно происходить один раз, при создании проекта;0
То есть нужна страница, где можно сразу ввести информацию о проекте и добавить в него задачи;0
Также для алгоритма нужны стоимости, а именно данные о том, за сколько дней каждый сотрудник может сделать каждую задачу;0
Я решил вводить эту информацию в виде таблицы на сайте;0
Немного позже я немного улучшил эту таблицу и сделал так, чтобы в случае отсутствия у сотрудника необходимых навыков и компетенций для решения той или иной задачи эта ячейка в таблице была неактивной;0
Шутов Никита Игоревич рис;0
Интересы;0
верстка сайтов, разработка десктоп приложений, тестирование приложений;0
Рис;0
Задачи;0
верстка веб-страниц;1
тестирование графического интерфейса, отслеживание ошибок с запросами;1
Проблемы;0
отслеживание ошибок - достаточно скрупулезный процесс, требующий доступных выходов для некоторого вида логов в HTTP ответах, однако JSON декодер Django оказался крайне неподвижным, из-за чего потребовалось прибегать к сторонним реализациям;0
Процесс создания проекта при отсутствии большого опыта работы в коллективе достаточно неопределен;0
Многие задумки в итоге являются труднореализуемыми, из-за чего многие вещи приходится менять на ходу и упрощать реализацию, из-за чего, картина финального продукта отличается от заранее задуманного;0
Характеристики;0
Лебедев Владислав Сергеевич - оценка вклада в проект  отлично , поскольку именно его хорошее знание языка Python и веб-фреймворка Django позволило реализовать удобное и минималистичное веб-приложение, послужившее базой для внедрения алгоритма оптимального распределения задач;0
Абрамов Сергей Дмитриевич - оценка вклада в проект  отлично ;0
Очень хорошо разобрался в своей теме, благодаря чему смог написать непростой  Алгоритм автоматического оптимального распределения задач ;0
Видно, что была проделана большая работа;0
Шутов Никита Игоревич - оценка вклада в проект  хорошо ;0
В течении проекта помогал делать некоторый функционал, что облегчало работу;0
Также занимался тестированием приложения и поиском багов;0
ЗАКЛЮЧЕНИЕ;0
